ocgov.com;TLS 1.3;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .com;
placer.ca.gov;TLS 1.2;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .gov;
acgov.org;TLS 1.2;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .org;
sbcounty.gov;TLS 1.2;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .gov;
yuba.org;TLS 1.2;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .org;
yolocounty.org;unknown;certificate; not expired;;certficate; not self-signed;Country Code; Unknown;domain; .org;
buttecounty.net;TLS 1.2;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .net;
kerncounty.com;TLS 1.2;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .com;
co.merced.ca.us;TLS 1.2;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .us;
smcgov.org;TLS 1.2;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .org;
co.fresno.ca.us;unknown;certificate; not expired;;certficate; not self-signed;Country Code; Unknown;domain; .us;
saccounty.net;TLS 1.2;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .net;
humboldtgov.org;TLS 1.2;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .org;
sf.gov;TLS 1.2;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .gov;
sandiegocounty.gov;TLS 1.3;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .gov;
lassen county;unknown;certificate; not expired;;certficate; not self-signed;Country Code; Unknown;domain; unknown;
calaverasgov.us;TLS 1.2;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .us;
ventura.org;TLS 1.3;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .org;
co.shasta.ca.usindex;unknown;certificate; not expired;;certficate; not self-signed;Country Code; Unknown;domain; .us;
countyofnapa.org;unknown;certificate; not expired;;certficate; not self-signed;Country Code; Unknown;domain; .org;
rivco.org;TLS 1.3;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .org;
slocounty.ca.gov;TLS 1.3;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .gov;
cosb.us;TLS 1.2;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .us;
tularecounty.ca.gov;TLS 1.2;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .gov;
amadorgov.org;TLS 1.2;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .org;
co.modoc.ca.us;TLS 1.2;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .us;
tuolumnecounty.ca.gov;TLS 1.2;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .gov;
sonomacounty.ca.gov;TLS 1.2;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .gov;
co.siskiyou.ca.us;TLS 1.3;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .us;
co.santa-cruz.ca.us;unknown;certificate; not expired;;certficate; not self-signed;Country Code; Unknown;domain; .us;
imperialcounty.org;TLS 1.3;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .org;
mariposacounty.org;TLS 1.2;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .org;
maderacounty.com;TLS 1.2;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .com;
co.tehama.ca.us;TLS 1.3;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .us;
co.del-norte.ca.us;unknown;certificate; not expired;;certficate; not self-signed;Country Code; Unknown;domain; .us;
co.monterey.ca.us;TLS 1.2;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .us;
plumascounty.us;TLS 1.2;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .us;
inyocounty.us;TLS 1.3;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .us;
suttercounty.org;TLS 1.3;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .org;
countyofkings.com;TLS 1.2;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .com;
countyofsb.org;TLS 1.2;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .org;
countyofcolusa.org;TLS 1.2;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .org;
edcgov.us;TLS 1.2;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .us;
mendocinocounty.org;No TLS;certificate; not expired;;certficate; not self-signed;Country Code; Unknown;domain; .org;
ca.gov;TLS 1.2;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .gov;
portal.ct.gov;TLS 1.2;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .gov;
litchfieldcty.com;No TLS;certificate; not expired;;certficate; not self-signed;Country Code; Unknown;domain; .com;
portal.ct.gov;TLS 1.2;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .gov;
arapahoegov.com;TLS 1.2;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .com;
elpasoco.com;TLS 1.3;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .com;
broomfield.org;TLS 1.2;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .org;
weldgov.com;TLS 1.2;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .com;
larimer.org;TLS 1.2;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .org;
denvergov.org;TLS 1.2;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .org;
douglas.co.us;TLS 1.2;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .us;
adcogov.org;TLS 1.3;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .org;
bouldercounty.org;TLS 1.2;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .org;
co.routt.co.us;TLS 1.2;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .us;
prowerscounty.net;TLS 1.2;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .net;
jeffco.us;TLS 1.2;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .us;
oterogov.com;TLS 1.3;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .com;
co.laplata.co.us;TLS 1.2;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .us;
rbc.us;TLS 1.2;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .us;
pitkincounty.com;TLS 1.2;certificate; not expired;;certficate; not self-signed;Country Code; US;domain; .com;
