number,State,population,population category,State2,score final,Website,TLS Level,Certificate Expiry,Certificate Signed,Country Code,Domain,cert_type,Country Code2,SWEET 32,Certificate Issuer,HTTP Check,HEARTBLEED,HSTS_CHECK,PORT 80,POODLE,DROWN,FREAK,County_site,Number of Open Ports,protocol1,protocol2,protocol3,protocol4,protocol5,protocol6,protocol7
1446,MS,4404,"1 to 75,000",MS,11,sharkeycounty.net,TLS 1.3, not expired, not self-signed, BE, .net, EV, BE, NOT VULNERABLE, AlphaSSL CA - SHA256 - G2,HTTP/1.1 301 Moved Permanently,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,sharkeycounty.net,1,ftp,,,,,,
1447,MS,26888,"1 to 75,000",MS,13,simpsoncountyms.com,TLS 1.2, not expired, not self-signed, US, .com, EV, US, NOT VULNERABLE, Starfield Secure Certificate Authority - G2,HTTP 2.0,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,simpsoncountyms.com,9,ftp,ssh,,,,,
1448,MS,16009,"1 to 75,000",MS,13,smithcountyms.org,TLS 1.2, not expired, not self-signed, US, .org, EV, US, NOT VULNERABLE, Starfield Secure Certificate Authority - G2,HTTP 2.0,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,smithcountyms.org,9,ftp,ssh,,,,,
1449,MS,18276,"1 to 75,000",MS,11,stonecountygov.com,TLS 1.3, not expired, not self-signed, BE, .com, EV, BE, NOT VULNERABLE, AlphaSSL CA - SHA256 - G2,HTTP/1.1 301 Moved Permanently,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,stonecountygov.com,1,ftp,,,,,,
1450,MS,26168,"1 to 75,000",MS,10,sunflowercounty.ms.gov,unknown, not expired, not self-signed, Unknown, .gov, non-EV, Unknown, NOT VULNERABLE, not found,Unknown,NOT VULNERABLE,No HSTS,Closed,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,sunflowercounty.ms.gov,0,,,,,,,
1451,MS,28404,"1 to 75,000",MS,13,tatecountyms.com,TLS 1.3, not expired, not self-signed, US, .com, non-EV, US, NOT VULNERABLE, Cloudflare Inc ECC CA-3,HTTP/1.1 301 Moved Permanently,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,tatecountyms.com,2,,,,,,,
1452,MS,22018,"1 to 75,000",MS,13,co.tippah.ms.us,TLS 1.3, not expired,self-signed, US, .us, EV, US, NOT VULNERABLE, 144.208.84.130,HTTP/1.1 301 Moved Permanently,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,co.tippah.ms.us,0,,,,,,,
1453,MS,28507,"1 to 75,000",MS,8,unioncoms.com,unknown, not expired, not self-signed, Unknown, .com, non-EV, Unknown, NOT VULNERABLE, not found,Unknown,NOT VULNERABLE,No HSTS,Closed,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,unioncoms.com,0,,,,,,,
1454,MS,14477,"1 to 75,000",MS,9,co.walthall.ms.us,unknown, not expired, not self-signed, Unknown, .us, non-EV, Unknown, NOT VULNERABLE, not found,Unknown,NOT VULNERABLE,No HSTS,Closed,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,co.walthall.ms.us,0,,,,,,,
1455,MS,46519,"1 to 75,000",MS,14,co.warren.ms.us,TLS 1.3, not expired, not self-signed, US, .us, EV, US, NOT VULNERABLE," cPanel, Inc. Certification Authority",HTTP/1.1 301 Moved Permanently,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,co.warren.ms.us,9,ftp,dns,,,,,
1456,MS,46057,"1 to 75,000",MS,11,washingtoncounty.ms,TLS 1.3, not expired, not self-signed, BE, unknown, EV, BE, NOT VULNERABLE, AlphaSSL CA - SHA256 - G2,HTTP/1.1 301 Moved Permanently,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,washingtoncounty.ms,1,ftp,,,,,,
1457,MS,20373,"1 to 75,000",MS,8,waynecounty.msindex.php,unknown, not expired, not self-signed, Unknown, unknown, non-EV, Unknown, NOT VULNERABLE, not found,Unknown,NOT VULNERABLE,No HSTS,Closed,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,waynecounty.msindex.php,0,,,,,,,
1458,MS,9768,"1 to 75,000",MS,8,webstercountyms.org,unknown, not expired, not self-signed, Unknown, .org, non-EV, Unknown, NOT VULNERABLE, not found,Unknown,NOT VULNERABLE,No HSTS,Closed,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,webstercountyms.org,0,,,,,,,
1459,MS,8875,"1 to 75,000",MS,14,wilkinson.co.ms.gov,TLS 1.3, not expired,self-signed, US, .gov, EV, US, NOT VULNERABLE, 144.208.84.130,HTTP/1.1 301 Moved Permanently,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,wilkinson.co.ms.gov,0,,,,,,,
1460,MS,18229,"1 to 75,000",MS,8,winstonms.com,No TLS, not expired, not self-signed, Unknown, .com, non-EV, Unknown, NOT VULNERABLE, not found,HTTP/1.1 301 Moved Permanently,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,winstonms.com,0,,,,,,,
1461,MS,12367,"1 to 75,000",MS,10,yalobushaonline.org,TLS 1.3, expired, not self-signed, BE, .org, non-EV, BE, NOT VULNERABLE, AlphaSSL CA - SHA256 - G2,HTTP/1.1 301 Moved Permanently,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,yalobushaonline.org,1,ftp,,,,,,
1462,MS,28565,"1 to 75,000",MS,11,yazoocounty.net,TLS 1.3, not expired, not self-signed, BE, .net, EV, BE, NOT VULNERABLE, AlphaSSL CA - SHA256 - G2,HTTP/1.1 301 Moved Permanently,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,yazoocounty.net,1,ftp,,,,,,
1463,MS,0,STATE,MS,14,ms.gov,TLS 1.2, not expired, not self-signed, US, .gov, non-EV, US, NOT VULNERABLE, GlobalSign RSA OV SSL CA 2018,HTTP/1.0 302 Moved Temporarily,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,ms.gov,0,,,,,,,
1464,MS,152677,"150,000 to 249,999",MS,13,rankincounty.org,TLS 1.3, not expired, not self-signed, US, .org, non-EV, US, NOT VULNERABLE, Cloudflare Inc ECC CA-3,HTTP/1.1 301 Moved Permanently,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,rankincounty.org,2,,,,,,,
1465,MT,9106,"1 to 75,000",MT,12,adlc.us,TLS 1.2, not expired, not self-signed, US, .us, EV, GB, NOT VULNERABLE, Sectigo RSA Domain Validation Secure Server CA,HTTP/1.1 302 Found,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,adlc.us,0,,,,,,,
1466,MT,9415,"1 to 75,000",MT,13,beaverheadcounty.org,TLS 1.3, not expired, not self-signed, US, .org, EV, US, NOT VULNERABLE," cPanel, Inc. Certification Authority",HTTP/1.1 302 Found,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,beaverheadcounty.org,11,ftp,ssh,dns,,,,
1467,MT,13387,"1 to 75,000",MT,13,bighorncountymt.gov,TLS 1.2, not expired, not self-signed, US, .gov, non-EV, US, NOT VULNERABLE," cPanel, Inc. Certification Authority",Unknown,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,bighorncountymt.gov,0,,,,,,,
1468,MT,6719,"1 to 75,000",MT,15,blainecounty-mt.gov,TLS 1.3, not expired, not self-signed, US, .gov, non-EV, US, NOT VULNERABLE, R3,HTTP/1.1 301 Moved Permanently,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,blainecounty-mt.gov,1,ssh,,,,,,
1469,MT,1331,"1 to 75,000",MT,12,cartercountymontana.squarespace.com,TLS 1.3, not expired, not self-signed, US, .com, EV, US, NOT VULNERABLE, DigiCert TLS RSA SHA256 2020 CA1,HTTP 4XX,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,cartercountymontana.squarespace.com,0,,,,,,,
1470,MT,81625,"75,001 to 149,999",MT,13,cascadecountymt.gov,TLS 1.3, not expired, not self-signed, US, .gov, non-EV, US,VULNERABLE, Cloudflare Inc ECC CA-3,HTTP/1.1 200 OK,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,cascadecountymt.gov,2,,,,,,,
1471,MT,117309,"75,001 to 149,999",MT,11,ci.missoula.mt.us,TLS 1.2, not expired, not self-signed, US, .us, non-EV, GB, NOT VULNERABLE, Sectigo RSA Domain Validation Secure Server CA,HTTP/1.1 200 OK,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,ci.missoula.mt.us,0,,,,,,,
1472,MT,10597,"1 to 75,000",MT,13,co.carbon.mt.us,TLS 1.2, not expired, not self-signed, US, .us, non-EV, US, NOT VULNERABLE, R3,HTTP/1.1 301 Moved Permanently,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,co.carbon.mt.us,0,,,,,,,
1473,MT,5732,"1 to 75,000",MT,14,co.chouteau.mt.us,TLS 1.2, not expired, not self-signed, US, .us, non-EV, US, NOT VULNERABLE, Go Daddy Secure Certificate Authority - G2,HTTP 2.0,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,co.chouteau.mt.us,10,ftp,ssh,,,,,
1474,MT,11221,"1 to 75,000",MT,14,co.fergus.mt.us,TLS 1.3, not expired, not self-signed, US, .us, EV, US, NOT VULNERABLE, R3,HTTP/1.1 301 Moved Permanently,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,co.fergus.mt.us,9,ftp,dns,,,,,
1475,MT,3311,"1 to 75,000",MT,13,co.granite.mt.us,TLS 1.2, not expired, not self-signed, US, .us, non-EV, US, NOT VULNERABLE, R3,HTTP/1.1 301 Moved Permanently,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,co.granite.mt.us,0,,,,,,,
1476,MT,1954,"1 to 75,000",MT,11,co.judith-basin.mt.us,TLS 1.2, not expired, not self-signed, US, .us, EV, GB,VULNERABLE, Sectigo RSA Domain Validation Secure Server CA,HTTP/1.1 301 Moved Permanently,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,co.judith-basin.mt.us,8,ftp,ssh,,,,,
1477,MT,4251,"1 to 75,000",MT,13,co.mineral.mt.us,TLS 1.3, not expired, not self-signed, US, .us, non-EV, Unknown, NOT VULNERABLE, not found,Unknown,NOT VULNERABLE,No HSTS,Closed,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,co.mineral.mt.us,0,,,,,,,
1478,MT,34770,"1 to 75,000",MT,12,co.silverbow.mt.us,TLS 1.2, not expired, not self-signed, US, .us, EV, GB, NOT VULNERABLE, Sectigo RSA Domain Validation Secure Server CA,HTTP/1.1 302 Found,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,co.silverbow.mt.us,0,,,,,,,
1479,MT,11729,"1 to 75,000",MT,11,custercountymt.com,TLS 1.2, not expired, not self-signed, US, .com, non-EV, Unknown, NOT VULNERABLE, not found,Unknown,NOT VULNERABLE,No HSTS,Closed,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,custercountymt.com,0,,,,,,,
1480,MT,9017,"1 to 75,000",MT,11,dawsoncountymontana.org,TLS 1.2, not expired, not self-signed, Unknown, .org, non-EV, Unknown, NOT VULNERABLE, web02,HTTP 2.0,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,dawsoncountymontana.org,0,,,,,,,
1481,MT,2921,"1 to 75,000",MT,13,falloncounty.net,TLS 1.3, not expired, not self-signed, US, .net, non-EV, US, NOT VULNERABLE," cPanel, Inc. Certification Authority",HTTP/1.1 301 Moved Permanently,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,falloncounty.net,8,ftp,,,,,,
1482,MT,99899,"75,001 to 149,999",MT,14,flathead.mt.gov,TLS 1.3, not expired, not self-signed, US, .gov, EV, US,VULNERABLE, Starfield Secure Certificate Authority - G2,Unknown,NOT VULNERABLE,Strict Transport Security Found,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,flathead.mt.gov,0,,,,,,,
1483,MT,108063,"75,001 to 149,999",MT,12,gallatincomt.virtualtownhall.net,TLS 1.3, not expired, not self-signed, US, .net, non-EV, US,VULNERABLE, Cloudflare Inc ECC CA-3,HTTP/1.1 301 Moved Permanently,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,gallatincomt.virtualtownhall.net,2,,,,,,,
1484,MT,13732,"1 to 75,000",MT,12,glaciercountygov.com,TLS 1.2, not expired, not self-signed, US, .com, non-EV, US, NOT VULNERABLE, R3,HTTP/1.1 301 Moved Permanently,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,glaciercountygov.com,11,ftp,ssh,,,,,
1485,MT,16436,"1 to 75,000",MT,13,hillcounty.us,TLS 1.2, not expired, not self-signed, US, .us, EV, US, NOT VULNERABLE, Go Daddy Secure Certificate Authority - G2,HTTP/1.1 301 Moved Permanently,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,hillcounty.us,1,ssh,,,,,,
1486,MT,11917,"1 to 75,000",MT,10,jeffersoncounty-mt.gov,unknown, not expired, not self-signed, Unknown, .gov, non-EV, Unknown, NOT VULNERABLE, not found,1.1 404 Not Found,NOT VULNERABLE,No HSTS,Closed,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,jeffersoncounty-mt.gov,3,ftp,ssh,dns,,,,
1487,MT,30013,"1 to 75,000",MT,10,lakemt.gov,unknown, not expired, not self-signed, Unknown, .gov, non-EV, Unknown, NOT VULNERABLE, not found,Unknown,NOT VULNERABLE,No HSTS,Closed,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,lakemt.gov,0,,,,,,,
1488,MT,67805,"1 to 75,000",MT,16,lccountymt.gov,TLS 1.3, not expired, not self-signed, US, .gov, EV, US, NOT VULNERABLE, Go Daddy Secure Certificate Authority - G2,HTTP/1.1 301 Moved Permanently,NOT VULNERABLE,Strict Transport Security Found,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,lccountymt.gov,0,,,,,,,
1489,MT,19537,"1 to 75,000",MT,9,lincolncountymt.us,No TLS, not expired, not self-signed, Unknown, .us, non-EV, Unknown, NOT VULNERABLE, not found,HTTP/1.1 200 OK,NOT VULNERABLE,No HSTS,Closed,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,lincolncountymt.us,2,ftp,ssh,,,,,
1490,MT,8302,"1 to 75,000",MT,13,madisoncountymt.gov,TLS 1.2, not expired, not self-signed, US, .gov, non-EV, GB, NOT VULNERABLE, Sectigo RSA Domain Validation Secure Server CA,HTTP/1.1 302 Found,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,madisoncountymt.gov,0,,,,,,,
1491,MT,1790,"1 to 75,000",MT,13,mcconecountymt.com,TLS 1.3, not expired, not self-signed, US, .com, non-EV, US, NOT VULNERABLE, R3,HTTP/1.1 301 Moved Permanently,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,mcconecountymt.com,9,ftp,dns,,,,,
1492,MT,1888,"1 to 75,000",MT,12,meagherco.com,TLS 1.2, not expired, not self-signed, US, .com, non-EV, US, NOT VULNERABLE, R3,HTTP/1.1 301 Moved Permanently,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,meagherco.com,1,ssh,,,,,,
1493,MT,117309,"75,001 to 149,999",MT,10,missoulacounty.us,unknown, not expired, not self-signed, Unknown, .us, non-EV, Unknown, NOT VULNERABLE, not found,HTTP/1.1 301 Moved Permanently,NOT VULNERABLE,No HSTS,Closed,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,missoulacounty.us,0,,,,,,,
1494,MT,0,STATE,MT,14,mt.gov,TLS 1.2, not expired, not self-signed, US, .gov, non-EV, US, NOT VULNERABLE, Sectigo RSA Organization Validation Secure Server CA,HTTP/1.0 302 Found,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,mt.gov,0,,,,,,,
1495,MT,4766,"1 to 75,000",MT,12,musselshellcounty.org,TLS 1.2, not expired, not self-signed, US, .org, EV, US, NOT VULNERABLE, Encryption Everywhere DV TLS CA - G1,HTTP/1.1 302 Found,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,musselshellcounty.org,1,,,,,,,
1496,MT,16352,"1 to 75,000",MT,13,parkcounty.org,TLS 1.3, not expired, not self-signed, US, .org, non-EV, US, NOT VULNERABLE, R3,HTTP/1.1 301 Moved Permanently,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,parkcounty.org,11,ftp,ssh,dns,,,,
1497,MT,453,"1 to 75,000",MT,12,petroleumcountymt.org,TLS 1.2, not expired, not self-signed, US, .org, non-EV, US, NOT VULNERABLE, R3,HTTP/1.1 301 Moved Permanently,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,petroleumcountymt.org,0,,,,,,,
1498,MT,4077,"1 to 75,000",MT,13,phillco.org,TLS 1.3, not expired, not self-signed, US, .org, non-EV, US, NOT VULNERABLE, R3,HTTP/1.1 301 Moved Permanently,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,phillco.org,5,ftp,ssh,,,,,
1499,MT,5994,"1 to 75,000",MT,12,ponderacountymontana.org,TLS 1.3, not expired, not self-signed, US, .org, non-EV, US,VULNERABLE, R3,HTTP/1.1 301 Moved Permanently,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,ponderacountymontana.org,2,,,,,,,
1500,MT,6854,"1 to 75,000",MT,14,powellcountymt.gov,TLS 1.3, not expired, not self-signed, US, .gov, EV, GB, NOT VULNERABLE, Sectigo RSA Domain Validation Secure Server CA,HTTP/1.1 301 Moved Permanently,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,powellcountymt.gov,0,,,,,,,
1501,MT,1252,"1 to 75,000",MT,12,prairiecounty.org,TLS 1.3, not expired, not self-signed, GB, .org, EV, GB, NOT VULNERABLE, COMODO RSA Domain Validation Secure Server CA,HTTP 2.0,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,prairiecounty.org,10,ftp,dns,,,,,
1502,MT,42512,"1 to 75,000",MT,12,ravalli.us,TLS 1.2, not expired, not self-signed, US, .us, non-EV, GB, NOT VULNERABLE, Sectigo RSA Domain Validation Secure Server CA,HTTP/1.1 302 Found,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,ravalli.us,0,,,,,,,
1503,MT,11199,"1 to 75,000",MT,10,richland.org,TLS 1.2, not expired, not self-signed, US, .org, EV, GB, NOT VULNERABLE, Sectigo RSA Domain Validation Secure Server CA,HTTP/1.1 200 OK,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,richland.org,0,,,,,,,
1504,MT,11175,"1 to 75,000",MT,13,rooseveltcounty.org,TLS 1.2, not expired, not self-signed, US, .org, non-EV, US, NOT VULNERABLE, Starfield Secure Certificate Authority - G2,HTTP 2.0,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,rooseveltcounty.org,10,ftp,ssh,,,,,
1505,MT,9152,"1 to 75,000",MT,14,rosebudcountymt.gov,TLS 1.2, not expired, not self-signed, US, .gov, non-EV, US, NOT VULNERABLE, R3,HTTP/1.1 301 Moved Permanently,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,rosebudcountymt.gov,0,,,,,,,
1506,MT,3670,"1 to 75,000",MT,12,sweetgrasscountygov.com,TLS 1.3, not expired, not self-signed, US, .com, non-EV, US, NOT VULNERABLE, Cloudflare Inc ECC CA-3,HTTP/1.1 200 OK,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,sweetgrasscountygov.com,2,,,,,,,
1507,MT,6086,"1 to 75,000",MT,13,tetoncomt.org,TLS 1.3, not expired, not self-signed, US, .org, EV, US, NOT VULNERABLE, R3,HTTP/1.1 301 Moved Permanently,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,tetoncomt.org,1,ssh,,,,,,
1508,MT,4892,"1 to 75,000",MT,15,toolecountymt.gov,TLS 1.3, not expired, not self-signed, US, .gov, non-EV, US, NOT VULNERABLE, R3,HTTP/1.1 301 Moved Permanently,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,toolecountymt.gov,13,ftp,ssh,dns,,,,
1509,MT,5945,"1 to 75,000",MT,10,townsendmt.com,TLS 1.2, expired, not self-signed, Unknown, .com, non-EV, Unknown, NOT VULNERABLE, polsonyouthsoccer.chdcart.com,HTTP 2.0,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,townsendmt.com,9,ftp,ssh,,,,,
1510,MT,1036,"1 to 75,000",MT,13,garfieldco.us,TLS 1.2, not expired, not self-signed, US, .us, non-EV, US, NOT VULNERABLE, R3,HTTP/1.1 301 Moved Permanently,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,garfieldco.us,0,,,,,,,
1511,MT,728,"1 to 75,000",MT,12,co.golden-valley.mt.us,TLS 1.2, not expired, not self-signed, US, .us, EV, US, NOT VULNERABLE, DigiCert SHA2 Secure Server CA,HTTP 4XX,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,co.golden-valley.mt.us,0,,,,,,,
1512,MT,2351,"1 to 75,000",MT,15,co.liberty.mt.us,TLS 1.3, not expired, not self-signed, US, .us, non-EV, US, NOT VULNERABLE, R3,HTTP 2.0,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,co.liberty.mt.us,12,ftp,ssh,dns,,,,
1513,MT,1607,"1 to 75,000",MT,13,prco.mt.gov,TLS 1.2, not expired, not self-signed, US, .gov, non-EV, US, NOT VULNERABLE, Sectigo RSA Organization Validation Secure Server CA,HTTP/1.1 200 OK,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,prco.mt.gov,0,,,,,,,
1514,MT,11681,"1 to 75,000",MT,13,co.sanders.mt.us,TLS 1.2, not expired, not self-signed, US, .us, non-EV, US, NOT VULNERABLE, R3,HTTP/1.1 301 Moved Permanently,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,co.sanders.mt.us,0,,,,,,,
1515,MT,3483,"1 to 75,000",MT,13,co.sheridan.mt.us,TLS 1.3, not expired, not self-signed, US, .us, EV, US, NOT VULNERABLE, Go Daddy Secure Certificate Authority - G2,HTTP/1.1 200 OK,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,co.sheridan.mt.us,0,,,,,,,
1516,MT,9466,"1 to 75,000",MT,14,stillwatercountymt.gov,TLS 1.2, not expired, not self-signed, US, .gov, non-EV, US, NOT VULNERABLE, R3,HTTP/1.1 301 Moved Permanently,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,stillwatercountymt.gov,1,ssh,,,,,,
1517,MT,159008,"150,000 to 249,999",MT,13,co.yellowstone.mt.gov,TLS 1.2, not expired, not self-signed, US, .gov, EV, US, NOT VULNERABLE, DigiCert SHA2 Secure Server CA,Unknown,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,co.yellowstone.mt.gov,0,,,,,,,
1518,MT,7471,"1 to 75,000",MT,8,valleycountymt.net,TLS 1.2, not expired, not self-signed, Unknown, .net, non-EV, Unknown,VULNERABLE, Amazon EC2,HTTP/1.1 200 OK,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,valleycountymt.net,0,,,,,,,
1519,NC,163324,"150,000 to 249,999",NC,13,alamance-nc.com,TLS 1.3, not expired, not self-signed, US, .com, non-EV, US, NOT VULNERABLE, Cloudflare Inc ECC CA-3,HTTP/1.1 301 Moved Permanently,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,alamance-nc.com,2,,,,,,,
1520,NC,11008,"1 to 75,000",NC,14,alleghanycounty-nc.gov,TLS 1.3, not expired, not self-signed, US, .gov, non-EV, US, NOT VULNERABLE, R3,HTTP/1.1 200 OK,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,alleghanycounty-nc.gov,10,ftp,dns,,,,,
1521,NC,33407,"1 to 75,000",NC,12,bladennc.govoffice3.com,TLS 1.2, not expired, not self-signed, US, .gov, EV, GB, NOT VULNERABLE, Sectigo RSA Domain Validation Secure Server CA,Unknown,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,bladennc.govoffice3.com,0,,,,,,,
1522,NC,131815,"75,001 to 149,999",NC,15,brunswickcountync.gov,TLS 1.3, not expired, not self-signed, US, .gov, EV, US, NOT VULNERABLE, DigiCert TLS RSA SHA256 2020 CA1,HTTP/1.1 302 Found,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,brunswickcountync.gov,0,,,,,,,
1523,NC,256886,"250,000 to 499,999",NC,12,buncombecounty.org,TLS 1.2, not expired, not self-signed, US, .org, EV, US, NOT VULNERABLE, Sectigo RSA Organization Validation Secure Server CA,HTTP/1.1 301 Moved Permanently,NOT VULNERABLE,No HSTS,Open,NOT VULNERABLE,NOT VULNERABLE,NOT VULNERABLE,buncombecounty.org,0,,,,,,,
